gene,gene.name,reliability,adrenal.gland.cells.in.zona.fasciculata,adrenal.gland.cells.in.zona.glomerulosa,adrenal.gland.cells.in.zona.reticularis,adrenal.gland.glandular.cells,adrenal.gland.medullary.cells,appendix.glandular.cells,appendix.lymphoid.tissue,bone.marrow.hematopoietic.cells,breast.adipocytes,breast.glandular.cells,breast.myoepithelial.cells,bronchus.respiratory.epithelial.cells,caudate.glial.cells,caudate.neuronal.cells,cerebellum.cells.in.granular.layer,cerebellum.cells.in.molecular.layer,cerebellum.Purkinje.cells,cerebral.cortex.endothelial.cells,cerebral.cortex.glial.cells,cerebral.cortex.neuronal.cells,cerebral.cortex.neuropil,cerebral.cortex.processes/nerve.bundles,cervix..uterine.glandular.cells,cervix..uterine.squamous.epithelial.cells,colon.endothelial.cells,colon.glandular.cells,colon.peripheral.nerve/ganglion,duodenum.glandular.cells,endometrium.1.cells.in.endometrial.stroma,endometrium.1.glandular.cells,endometrium.2.cells.in.endometrial.stroma,endometrium.2.glandular.cells,epididymis.glandular.cells,esophagus.squamous.epithelial.cells,eye.lens,fallopian.tube.glandular.cells,gallbladder.glandular.cells,hair.cells.in.cortex/medulla,hair.cells.in.cuticle,hair.cells.in.external.root.sheath,hair.cells.in.internal.root.sheath,heart.muscle.myocytes,hippocampus.glial.cells,hippocampus.neuronal.cells,hippocampus.processes/nerve.bundles,hypothalamus.glial.cells,hypothalamus.neuronal.cells,hypothalamus.processes/nerve.bundles,kidney.cells.in.glomeruli,kidney.cells.in.tubules,lactating.breast.ductal.cells,lactating.breast.lactating.glandular.cells,liver.bile.duct.cells,liver.hepatocytes,lung.macrophages,lung.pneumocytes,lymph.node.germinal.center.cells,lymph.node.non-germinal.center.cells,nasopharynx.respiratory.epithelial.cells,oral.mucosa.squamous.epithelial.cells,ovary.follicle.cells,ovary.ovarian.stroma.cells,pancreas.exocrine.glandular.cells,pancreas.islets.of.Langerhans,parathyroid.gland.glandular.cells,pituitary.gland.cells.in.anterior,pituitary.gland.cells.in.posterior,placenta.decidual.cells,placenta.trophoblastic.cells,prostate.glandular.cells,rectum.glandular.cells,retina.cells.in.inner.nuclear.layer,retina.cells.in.photoreceptor.layer,retina.ganglion.cells,retina.nerve.fibers.in.inner.plexiform.layer,retina.nerve.fibers.in.nerve.fiber.layer,retina.nerve.fibers.in.outer.plexiform.layer,salivary.gland.glandular.cells,seminal.vesicle.glandular.cells,skeletal.muscle.myocytes,skin.1.fibroblasts,skin.1.keratinocytes,skin.1.Langerhans,skin.1.melanocytes,skin.2.epidermal.cells,skin.sebaceous.cells,skin.secretory.cells,skin.sweat.ducts,small.intestine.glandular.cells,smooth.muscle.smooth.muscle.cells,soft.tissue.1.adipocytes,soft.tissue.1.chondrocytes,soft.tissue.1.fibroblasts,soft.tissue.1.peripheral.nerve,soft.tissue.2.adipocytes,soft.tissue.2.chondrocytes,soft.tissue.2.fibroblasts,soft.tissue.2.peripheral.nerve,spleen.cells.in.red.pulp,spleen.cells.in.white.pulp,stomach.1.glandular.cells,stomach.2.glandular.cells,testis.cells.in.seminiferous.ducts,testis.Leydig.cells,thyroid.gland.glandular.cells,tonsil.germinal.center.cells,tonsil.non-germinal.center.cells,tonsil.squamous.epithelial.cells,urinary.bladder.urothelial.cells,vagina.squamous.epithelial.cells
ENSG00000004660,CAMKK1,Uncertain,NA,NA,NA,2,NA,1,2,1,0,1,1,1,1,2,0,0,0,2,0,3,1,NA,0,1,0,1,0,1,0,1,0,1,0,0,NA,0,1,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,1,1,NA,NA,1,0,3,1,2,2,0,0,1,0,1,1,1,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,2,0,0,NA,NA,NA,1,1,NA,NA,0,NA,0,NA,0,0,2,2,1,1,1,1,1,2,2,2,1,1
ENSG00000004700,RECQL,Supportive,NA,NA,NA,2,NA,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,0,NA,2,1,2,1,1,1,2,2,2,2,2,1,NA,2,1,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,NA,NA,0,2,1,1,2,2,2,2,NA,2,1,0,2,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,2,2,NA,NA,NA,1,2,2,NA,2,NA,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1
ENSG00000004766,VPS50,Uncertain,NA,NA,NA,2,NA,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,NA,1,2,1,2,NA,2,2,2,0,2,2,2,NA,2,2,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,1,2,NA,NA,2,2,2,1,2,1,2,2,2,1,2,1,1,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,2,NA,NA,NA,2,1,NA,NA,2,NA,1,0,2,2,1,0,2,2,2,2,2,2,2,2,2,NA
ENSG00000004776,HSPB6,Supportive,NA,NA,NA,3,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2,0,0,0,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,1,2,0,0,0,NA,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,0,0,NA,NA,NA,0,2,2,NA,0,0,3,NA,3,0,0,0,0,0,0,3,0,0,0,0,0,0
ENSG00000004777,ARHGAP33,Supportive,NA,NA,NA,2,NA,1,1,2,0,2,2,1,0,1,0,0,0,2,1,2,1,NA,0,1,2,1,1,2,1,0,2,2,2,2,NA,1,2,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,1,1,NA,NA,0,2,1,2,1,2,2,2,NA,0,1,NA,2,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,1,2,1,1,0,2,2,NA,NA,NA,1,2,2,2,2,0,1,2,0,NA,0,0,1,0,2,1,2,1,1,0,1,1
ENSG00000004779,NDUFAB1,Uncertain,NA,NA,NA,1,NA,0,1,1,0,0,1,2,2,3,2,2,3,0,2,3,0,NA,2,1,1,2,NA,2,1,1,0,1,2,2,NA,2,2,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,1,2,NA,NA,0,1,1,1,2,2,2,2,1,0,2,1,0,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,NA,NA,NA,1,1,NA,0,2,0,0,NA,2,1,2,2,2,2,2,2,1,1,2,2,2,2
ENSG00000004799,PDK4,Uncertain,NA,NA,NA,3,NA,3,2,3,0,3,1,3,1,3,2,3,3,1,3,3,0,NA,NA,2,1,3,NA,3,2,3,1,3,3,2,NA,3,3,NA,NA,NA,NA,3,2,3,NA,NA,NA,NA,1,3,NA,NA,0,1,2,2,1,2,3,2,3,1,2,1,3,NA,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,3,3,2,0,1,0,1,2,NA,NA,NA,3,0,1,1,1,1,1,NA,1,0,2,3,3,2,3,3,2,2,2,2,3,2
ENSG00000004809,SLC22A16,Uncertain,NA,NA,NA,1,NA,2,0,2,0,1,0,1,0,1,2,0,2,0,0,1,0,NA,1,0,0,2,0,2,0,1,0,1,0,1,NA,1,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,0,2,NA,NA,1,2,1,0,0,2,2,1,NA,0,2,0,2,NA,NA,0,0,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,1,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,2,1,2,0,1
ENSG00000004838,ZMYND10,Uncertain,NA,NA,NA,3,NA,3,2,2,2,3,2,2,1,0,2,1,2,2,0,1,2,NA,2,2,2,3,NA,3,2,3,0,2,2,3,NA,3,3,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,0,3,NA,NA,2,3,2,2,2,3,3,1,NA,2,2,2,3,NA,NA,2,3,3,2,NA,NA,NA,NA,NA,NA,3,3,1,2,2,2,2,2,NA,NA,NA,3,1,2,0,2,1,1,NA,2,1,3,3,3,3,3,3,3,2,3,2,3,2
ENSG00000004864,SLC25A13,Uncertain,NA,NA,NA,2,NA,2,2,2,0,2,0,2,0,3,2,2,2,0,0,3,2,NA,2,2,0,3,NA,3,0,1,0,1,1,1,NA,1,2,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,0,3,NA,NA,0,3,1,0,1,1,2,1,0,1,2,1,1,NA,NA,0,1,1,2,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,1,NA,NA,NA,3,1,1,1,0,0,1,1,0,NA,1,0,2,2,1,2,1,1,0,1,1,1
ENSG00000004866,ST7,Uncertain,NA,NA,NA,2,NA,2,0,0,0,2,1,1,0,1,0,1,0,0,1,1,0,NA,0,1,2,2,1,2,0,2,0,1,0,1,NA,2,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,2,2,NA,NA,0,0,1,0,0,0,2,0,NA,0,2,0,1,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,0,2,0,0,0,0,2,NA,NA,NA,2,1,1,NA,2,1,1,2,1,NA,0,0,1,1,1,0,2,1,0,0,1,0
ENSG00000004897,CDC27,Supportive,NA,NA,NA,2,NA,2,2,3,2,2,1,3,2,2,1,2,2,2,2,2,1,NA,3,3,3,3,2,3,1,1,1,2,2,3,NA,2,3,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,2,3,NA,NA,0,1,1,2,3,2,3,3,1,0,3,1,3,NA,NA,3,2,1,3,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,3,NA,NA,NA,2,2,2,NA,3,2,2,NA,2,1,2,2,2,2,2,1,3,2,2,2,2,2
ENSG00000004939,SLC4A1,Supportive,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,HCCS,Uncertain,NA,NA,NA,2,NA,2,1,1,NA,1,1,1,1,1,0,0,1,0,0,1,0,NA,0,1,0,2,0,1,0,1,0,1,1,2,NA,1,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,2,NA,NA,1,2,2,0,2,1,1,3,NA,1,1,1,3,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,2,1,0,NA,1,NA,NA,NA,1,NA,1,1,2,2,2,2,1,2,1,2,2,2
ENSG00000004975,DVL2,Uncertain,NA,NA,NA,2,NA,2,2,2,2,2,1,2,0,2,2,2,2,0,1,2,2,NA,1,2,1,2,2,2,1,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,2,2,NA,NA,1,2,2,1,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,2,1,2,2,2,1,1,2,NA,NA,NA,2,2,2,NA,2,2,1,NA,2,1,1,1,2,2,2,2,2,2,2,2,2,2
ENSG00000005001,PRSS22,Uncertain,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,2,1,0,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,3,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000005007,UPF1,Uncertain,NA,NA,NA,2,NA,2,2,1,0,2,2,2,0,2,1,2,2,1,2,2,0,NA,1,2,2,2,3,2,0,2,1,2,2,2,NA,2,2,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,0,2,NA,NA,0,1,2,1,2,2,2,2,2,1,2,2,2,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,1,2,NA,NA,NA,2,0,0,1,0,0,0,NA,0,0,0,0,2,2,2,2,2,2,2,2,2,2
ENSG00000005020,SKAP2,Supportive,NA,NA,NA,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,2,0,2,2,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,1,0,0,0,0,0,0,2,2,0,0,0
ENSG00000005022,SLC25A5,Uncertain,NA,NA,NA,2,NA,2,2,1,0,2,1,1,1,1,1,0,3,0,1,2,1,NA,NA,2,1,2,0,2,1,1,0,0,0,2,NA,1,2,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,0,2,NA,NA,0,2,2,1,1,1,2,2,NA,0,2,2,3,NA,NA,0,1,1,3,NA,NA,NA,NA,NA,NA,1,1,1,1,0,2,2,1,NA,NA,NA,2,1,0,0,0,NA,1,NA,1,0,1,1,3,3,2,3,1,2,2,2,2,0
ENSG00000005059,CCDC109B,Uncertain,NA,NA,NA,0,NA,2,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,NA,0,1,1,2,1,1,0,0,0,0,0,1,NA,1,2,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,2,NA,NA,0,0,0,0,2,2,2,1,1,0,2,0,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,NA,NA,NA,1,1,0,NA,0,0,0,NA,0,0,2,0,2,1,0,0,0,2,2,0,1,0
ENSG00000005073,HOXA11,Supportive,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,2,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005075,POLR2J,Uncertain,NA,NA,NA,2,NA,2,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,NA,1,0,0,0,0,2,0,NA,1,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,0,2,NA,NA,0,2,2,0,0,0,0,0,NA,0,1,1,1,NA,NA,NA,0,2,1,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,0,NA,NA,NA,2,0,1,0,1,0,1,NA,0,0,0,0,2,0,2,2,1,0,0,0,0,0
ENSG00000005102,MEOX1,Uncertain,NA,NA,NA,2,NA,2,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,NA,2,2,1,2,0,2,2,2,1,2,2,2,NA,2,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,1,2,NA,NA,0,0,2,2,0,0,2,2,NA,1,0,0,2,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,0,2,NA,NA,NA,2,1,0,0,2,1,0,NA,2,1,0,2,2,2,2,2,2,2,2,2,2,2
ENSG00000005108,THSD7A,Supportive,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,0,NA,NA,0,0,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,NA,0,1,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000005156,LIG3,Supportive,NA,NA,NA,2,NA,2,1,3,3,3,3,3,0,2,1,3,3,1,1,3,0,NA,3,3,2,3,NA,2,2,3,2,3,3,2,NA,3,3,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,2,NA,NA,0,0,2,2,1,1,3,2,NA,2,3,1,0,NA,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,3,3,NA,NA,NA,2,0,2,NA,3,2,2,NA,3,2,2,0,2,2,3,1,3,2,2,3,3,2
ENSG00000005175,RPAP3,Uncertain,NA,NA,NA,2,NA,3,2,2,1,3,3,3,1,2,2,2,2,2,1,2,1,NA,1,2,3,3,3,3,2,1,3,3,2,3,NA,3,2,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,3,2,NA,NA,1,2,2,2,2,3,3,2,NA,2,2,2,2,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,3,3,NA,NA,NA,3,2,3,NA,2,2,2,NA,2,2,1,2,3,3,2,2,2,2,2,2,2,2
ENSG00000005187,ACSM3,Uncertain,NA,NA,NA,0,NA,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,NA,0,0,1,2,0,2,0,0,0,1,1,0,NA,1,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,0,1,NA,NA,0,0,2,0,2,2,NA,0,NA,0,2,0,0,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,2,0,0,0,0,0,0,NA,0,0,2,2,1,2,0,0,2,1,2,0,1,0
ENSG00000005189,AC004381.6,Supportive,NA,NA,NA,2,NA,2,0,0,0,2,1,2,0,2,0,0,2,0,0,2,0,NA,0,NA,0,2,0,2,0,0,0,0,0,2,NA,2,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,0,2,NA,NA,0,2,2,0,0,0,2,1,0,0,2,1,2,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,2,2,0,2,NA,NA,NA,2,0,0,NA,0,0,0,NA,0,0,0,0,2,2,2,2,1,0,0,2,2,2
ENSG00000005194,CIAPIN1,Supportive,NA,NA,NA,1,NA,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,2,0,0,0,0,1,0,NA,0,2,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,1,0,1,0,2,0,1,0,0,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,2,0,0,0,0,0,0,NA,0,0,0,0,2,2,3,1,0,0,0,0,2,0
ENSG00000005238,FAM214B,Uncertain,NA,NA,NA,2,NA,1,0,3,0,1,1,1,1,2,1,1,1,1,1,3,1,NA,0,0,NA,1,NA,2,1,2,0,1,2,2,NA,3,2,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,0,2,NA,NA,2,2,2,0,NA,0,1,1,NA,0,3,1,2,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,0,0,2,0,NA,NA,NA,1,0,0,2,0,NA,2,NA,0,1,1,2,2,2,2,1,2,1,0,2,2,1
ENSG00000005243,COPZ2,Uncertain,NA,NA,NA,2,NA,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,2,0,1,0,2,1,2,NA,1,2,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,2,NA,NA,0,2,2,0,0,0,2,0,1,0,2,2,1,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,1,0,0,0,0,1,NA,NA,NA,2,1,NA,0,0,0,1,NA,0,0,0,0,2,2,2,2,1,0,0,1,1,1
ENSG00000005249,PRKAR2B,Supportive,NA,NA,NA,3,NA,1,0,0,3,1,1,1,1,2,0,1,1,1,1,2,2,NA,NA,0,0,1,0,1,0,1,0,1,2,0,NA,1,0,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,2,0,NA,NA,1,0,1,0,0,0,1,1,NA,2,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,1,0,1,NA,NA,NA,1,1,3,NA,1,NA,3,NA,0,NA,1,0,1,1,2,2,0,0,0,1,1,0
ENSG00000005302,MSL3,Uncertain,NA,NA,NA,1,NA,1,2,1,0,1,1,2,0,1,0,1,1,0,0,1,1,NA,1,1,2,1,NA,2,0,0,0,0,1,0,NA,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,2,0,NA,NA,0,0,0,0,2,2,2,0,NA,0,0,0,0,NA,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,0,1,0,2,1,2,3,0,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,1,1,0,1,0,1
ENSG00000005339,CREBBP,Supportive,NA,NA,NA,2,NA,2,2,1,2,2,2,2,2,1,3,3,3,1,1,2,2,NA,2,3,2,3,2,2,3,3,3,3,2,3,NA,3,3,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,2,2,NA,NA,2,2,2,2,2,2,3,3,NA,2,2,2,2,NA,NA,3,1,2,3,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,3,NA,NA,NA,3,2,NA,1,2,NA,1,NA,2,1,2,2,2,2,3,3,3,2,2,2,3,3
ENSG00000005379,BZRAP1,Uncertain,NA,NA,NA,2,NA,2,1,1,0,2,2,2,1,1,1,1,2,1,1,1,2,NA,1,2,1,2,1,2,1,1,0,1,2,2,NA,1,2,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,2,2,NA,NA,1,1,1,0,2,1,2,2,1,0,2,1,2,NA,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,1,1,2,0,1,1,1,1,NA,NA,NA,2,1,0,0,0,1,0,NA,0,1,0,2,2,2,2,2,1,2,2,2,2,2
ENSG00000005381,MPO,Supportive,NA,NA,NA,0,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005421,PON1,Uncertain,NA,NA,NA,2,NA,2,2,2,1,2,2,2,1,1,2,2,2,2,0,1,2,NA,1,1,2,1,1,1,1,1,0,1,2,0,NA,2,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,3,2,1,2,0,NA,1,2,1,1,2,2,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,3,2,1,NA,NA,NA,1,1,2,NA,2,NA,2,NA,2,2,1,1,2,2,2,2,1,NA,1,1,2,1
ENSG00000005448,WDR54,Supportive,NA,NA,NA,1,NA,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,2,0,2,2,1,NA,3,2,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,3,NA,NA,0,0,3,0,0,0,2,0,0,0,2,0,2,NA,NA,0,1,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,2,0,0,0,2,0
ENSG00000005469,CROT,Supportive,NA,NA,NA,2,NA,2,0,1,0,2,2,2,0,1,2,0,1,0,0,1,0,NA,1,0,0,2,0,3,0,2,0,2,1,1,NA,1,2,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,0,3,NA,NA,2,3,2,0,0,2,1,1,1,0,2,0,2,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,0,NA,NA,NA,3,1,0,0,0,0,0,NA,0,NA,0,1,2,2,1,2,2,0,1,1,3,1
ENSG00000005471,ABCB4,Uncertain,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005483,KMT2E,Uncertain,NA,NA,NA,0,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005486,RHBDD2,Uncertain,NA,NA,NA,0,NA,0,0,2,0,0,0,0,0,2,0,0,2,0,2,3,0,NA,NA,0,NA,0,NA,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,0,0,3,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,2,2,0,0,0,0,0
ENSG00000005513,SOX8,Uncertain,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,0,NA,0,NA,0,0,0,0,1,1,1,0,0,NA,0,1,0,0
ENSG00000005700,IBTK,Uncertain,NA,NA,NA,1,NA,2,1,1,0,1,0,2,0,1,0,0,2,0,1,2,1,NA,2,NA,1,2,1,2,0,1,0,1,2,1,NA,2,2,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,0,1,NA,NA,1,2,1,2,0,1,2,0,1,0,2,1,2,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,2,1,NA,NA,NA,2,0,1,0,0,0,0,NA,0,0,0,0,2,2,1,2,2,0,1,0,2,0
ENSG00000005801,ZNF195,Uncertain,NA,NA,NA,2,NA,2,3,2,2,2,1,2,2,2,2,3,2,2,2,2,0,NA,2,2,1,2,2,1,2,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,1,2,NA,NA,1,1,2,2,2,2,2,2,2,1,3,2,2,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,2,NA,1,2,2,NA,2,2,2,2,2,2,3,2,2,3,3,2,2,2
